model,pooled_mae,pooled_rmse,pooled_r2,macro_mae,macro_rmse,macro_r2
mean,0.3130039684054172,0.36674560946881296,-0.3053833092863425,0.3376348245429788,0.38350574543423677,-96.32997259275987
ols,0.3638400103288872,0.45137652176292514,-0.9773618004331206,0.34602016517105927,0.3839080739172542,-91.0718189449373
ridge,0.24396716014205377,0.29148243866408186,0.17541961909056547,0.27945772784621514,0.3131611025289048,-88.95811732902871
