record_id,mainshock_id,subgroup_type,subgroup,draw,p_boot
us7000e532|mainshock|all,us7000e532,mainshock,all,75,0.5274868445640538
us7000e532|mainshock|all,us7000e532,mainshock,all,76,0.61163052403456
us7000e532|mainshock|all,us7000e532,mainshock,all,77,0.6041881754664067
us7000e532|mainshock|all,us7000e532,mainshock,all,78,0.5457060767348443
us7000e532|mainshock|all,us7000e532,mainshock,all,79,0.6775177555616104
us7000e532|mainshock|all,us7000e532,mainshock,all,80,0.7713053943652667
us7000e532|mainshock|all,us7000e532,mainshock,all,81,0.655986610884187
us7000e532|mainshock|all,us7000e532,mainshock,all,82,0.6479956976579996
us7000e532|mainshock|all,us7000e532,mainshock,all,83,0.6940974485809477
us7000e532|mainshock|all,us7000e532,mainshock,all,84,0.6036913284470924
us7000e532|mainshock|all,us7000e532,mainshock,all,85,0.6213350787888565
us7000e532|mainshock|all,us7000e532,mainshock,all,86,0.6871790660457768
us7000e532|mainshock|all,us7000e532,mainshock,all,87,0.6343524098483863
us7000e532|mainshock|all,us7000e532,mainshock,all,88,0.592980955022828
us7000e532|mainshock|all,us7000e532,mainshock,all,89,0.7078124177190328
us7000e532|mainshock|all,us7000e532,mainshock,all,90,0.6827397500247504
us7000e532|mainshock|all,us7000e532,mainshock,all,91,0.5648402498207116
us7000e532|mainshock|all,us7000e532,mainshock,all,92,0.5604316772257644
us7000e532|mainshock|all,us7000e532,mainshock,all,93,0.616982574036669
us7000e532|mainshock|all,us7000e532,mainshock,all,94,0.4060593870249134
us7000e532|mainshock|all,us7000e532,mainshock,all,95,0.6936813345827523
us7000e532|mainshock|all,us7000e532,mainshock,all,96,0.500801341144767
us7000e532|mainshock|all,us7000e532,mainshock,all,97,0.6383664527376998
us7000e532|mainshock|all,us7000e532,mainshock,all,98,0.562058090545195
us7000e532|mainshock|all,us7000e532,mainshock,all,99,0.7166454669566055
us7000e532|mainshock|all,us7000e532,mainshock,all,100,0.6211490396770408
us7000e532|mainshock|all,us7000e532,mainshock,all,101,0.6813499190946752
us7000e532|mainshock|all,us7000e532,mainshock,all,102,0.4672744728658512
us7000e532|mainshock|all,us7000e532,mainshock,all,103,0.644792157252748
us7000e532|mainshock|all,us7000e532,mainshock,all,104,0.5937307533079903
us7000e532|mainshock|all,us7000e532,mainshock,all,105,0.601975662184197
us7000e532|mainshock|all,us7000e532,mainshock,all,106,0.6579675959924118
us7000e532|mainshock|all,us7000e532,mainshock,all,107,0.7218188258831696
us7000e532|mainshock|all,us7000e532,mainshock,all,108,0.6077542529277103
us7000e532|mainshock|all,us7000e532,mainshock,all,109,0.7558251172158368
us7000e532|mainshock|all,us7000e532,mainshock,all,110,0.7408266621382632
us7000e532|mainshock|all,us7000e532,mainshock,all,111,0.6911100923257941
us7000e532|mainshock|all,us7000e532,mainshock,all,112,0.633346565046922
us7000e532|mainshock|all,us7000e532,mainshock,all,113,0.6785894121402324
us7000e532|mainshock|all,us7000e532,mainshock,all,114,0.6748094088358485
us7000e532|mainshock|all,us7000e532,mainshock,all,115,0.6648925959319724
us7000e532|mainshock|all,us7000e532,mainshock,all,116,0.6549903940262858
us7000e532|mainshock|all,us7000e532,mainshock,all,117,0.6657754997974102
us7000e532|mainshock|all,us7000e532,mainshock,all,118,0.584240529187587
us7000e532|mainshock|all,us7000e532,mainshock,all,119,0.6149473495433131
us7000e532|mainshock|all,us7000e532,mainshock,all,120,0.6164684192867487
us7000e532|mainshock|all,us7000e532,mainshock,all,121,0.6604836446144646
us7000e532|mainshock|all,us7000e532,mainshock,all,122,0.7170988515924978
us7000e532|mainshock|all,us7000e532,mainshock,all,123,0.6854125763211782
us7000e532|mainshock|all,us7000e532,mainshock,all,124,0.7175150076397206
us7000e532|mainshock|all,us7000e532,mainshock,all,125,0.5265898522195078
us7000e532|mainshock|all,us7000e532,mainshock,all,126,0.7206469593841118
us7000e532|mainshock|all,us7000e532,mainshock,all,127,0.5716702634983216
us7000e532|mainshock|all,us7000e532,mainshock,all,128,0.6013893866888814
us7000e532|mainshock|all,us7000e532,mainshock,all,129,0.5881110229877353
us7000e532|mainshock|all,us7000e532,mainshock,all,130,0.7546006915401628
us7000e532|mainshock|all,us7000e532,mainshock,all,131,0.6425056769811041
us7000e532|mainshock|all,us7000e532,mainshock,all,132,0.6073718286501372
us7000e532|mainshock|all,us7000e532,mainshock,all,133,0.5352999057667038
us7000e532|mainshock|all,us7000e532,mainshock,all,134,0.5544388355608704
