scope,omitted_mainshock,n,n_groups,fe_exposure_slope,permutation_p,mean_mae,mean_rmse,mean_r2,ols_mae,ols_rmse,ols_r2,ridge_mae,ridge_rmse,ridge_r2,radius_km,pearson_r,spearman_rho,exact_permutation_p
subgroup_fe_ml,us7000e532,30,5,-0.22230855518594034,0.000999000999000999,0.32078857175069225,0.37286230464978243,-0.3540157992691393,0.5322027343178782,0.7539087944704937,-4.535596061060557,0.2818431078729315,0.3352524548705329,-0.09463846761215922,,,,
subgroup_fe_ml,us7000i59t,32,5,-0.19888004162402872,0.003996003996003996,0.28972785770019416,0.34246237653311856,-0.33023284840697764,0.402847411483067,0.5515272188370046,-2.450132996381048,0.4168159472258186,0.5261159033693577,-2.1395311415426237,,,,
subgroup_fe_ml,usb000gcdd,27,5,-0.12313190989840431,0.1028971028971029,0.3514742740401839,0.40963265695424567,-0.5867721318889612,1.0644102011858152,1.5392430896066915,-21.404736710987557,0.389440512060195,0.46123492385555787,-1.0117304397421831,,,,
subgroup_fe_ml,usb000rzmg,30,5,-0.16270826799593702,0.029970029970029972,0.31331379722376257,0.36763667542074757,-0.3601426114287467,0.4612292180512276,0.5970290910632147,-2.5870528301348843,0.2674960735833344,0.3230113039510651,-0.04998290541632522,,,,
subgroup_fe_ml,usp000g650,24,5,-0.298047763118787,0.014985014985014986,0.28856315211794603,0.3457548480724015,-0.24092185105318342,0.5741524464711395,0.6556778361519028,-3.4626094649090264,0.3029335934594881,0.37867967162282457,-0.4885103506264219,,,,
subgroup_fe_ml,usp000gdw4,27,5,-0.20531099063173625,0.025974025974025976,0.3492975330677997,0.39820179232840147,-0.4233558376145323,0.4884906884241118,0.6937396998265177,-3.3201632881874907,0.25575697626331,0.3128719624321347,0.1213005423489475,,,,
mainshock_scale,us7000e532,7,7,,,,,,,,,0.21375549319339385,0.24338195427880174,,10.0,-0.09930868767415689,0.14285714285714288,0.8281746031746032
mainshock_scale,us7000e532,7,7,,,,,,,,,0.2020264635570291,0.23500137252170358,,25.0,0.00043796032940901335,0.10714285714285716,0.9990079365079365
mainshock_scale,us7000e532,7,7,,,,,,,,,0.2236469141539469,0.25602940415932807,,50.0,0.6944609720596099,0.7500000000000002,0.0865079365079365
mainshock_scale,us7000i59t,7,7,,,,,,,,,0.2498490939834593,0.354754909340018,,10.0,-0.2774119961918242,-0.14285714285714288,0.5464285714285714
mainshock_scale,us7000i59t,7,7,,,,,,,,,0.2462510767469185,0.35585103879996366,,25.0,-0.27529178736705373,-0.07142857142857144,0.5515873015873016
mainshock_scale,us7000i59t,7,7,,,,,,,,,0.24931994866872756,0.35104451169201895,,50.0,0.5040672484383596,0.4642857142857144,0.25357142857142856
mainshock_scale,usb000gcdd,7,7,,,,,,,,,0.30902405554748485,0.3890148487381783,,10.0,-0.22074904328693523,0.03571428571428572,0.6513888888888889
mainshock_scale,usb000gcdd,7,7,,,,,,,,,0.23440266926137174,0.3468826211610281,,25.0,-0.08241988254239295,0.1785714285714286,0.8722222222222222
mainshock_scale,usb000gcdd,7,7,,,,,,,,,0.21055395297494775,0.3149554723275362,,50.0,0.638989060052502,0.6785714285714287,0.12222222222222222
mainshock_scale,usb000rzmg,7,7,,,,,,,,,0.23445283615086884,0.28316052630487265,,10.0,-0.11139109251368028,0.07142857142857144,0.803968253968254
mainshock_scale,usb000rzmg,7,7,,,,,,,,,0.2045867472721978,0.2363806914548403,,25.0,-0.017529939119198944,0.10714285714285716,0.9706349206349206
mainshock_scale,usb000rzmg,7,7,,,,,,,,,0.18259787184468526,0.2186775398456534,,50.0,0.7983702017871896,0.7500000000000002,0.03869047619047619
mainshock_scale,usp000c30u,7,7,,,,,,,,,0.25475517904826817,0.36764619780439234,,10.0,-0.4011487839514872,-0.3571428571428572,0.36924603174603177
mainshock_scale,usp000c30u,7,7,,,,,,,,,0.22370559942385043,0.285232080055424,,25.0,-0.2224892971779842,-0.28571428571428575,0.6232142857142857
mainshock_scale,usp000c30u,7,7,,,,,,,,,0.22434926143709363,0.26794695457640866,,50.0,0.5847073083194962,0.4642857142857144,0.16468253968253968
mainshock_scale,usp000fd8a,7,7,,,,,,,,,0.2085165605609603,0.2541508420755728,,10.0,0.025932601821845102,0.14285714285714288,0.9503968253968254
mainshock_scale,usp000fd8a,7,7,,,,,,,,,0.19904612843750483,0.23440279006788284,,25.0,0.01612625893336283,0.10714285714285716,0.9716269841269841
mainshock_scale,usp000fd8a,7,7,,,,,,,,,0.18807997969607376,0.2177496107530305,,50.0,0.6112425454357643,0.42857142857142866,0.1488095238095238
mainshock_scale,usp000g650,7,7,,,,,,,,,0.3062955655444583,0.4136949107213307,,10.0,0.3538224583764336,0.3571428571428572,0.4375
mainshock_scale,usp000g650,7,7,,,,,,,,,0.19830648622939526,0.27236869918710527,,25.0,0.3929084113431815,0.42857142857142866,0.3873015873015873
mainshock_scale,usp000g650,7,7,,,,,,,,,0.19819864434251264,0.26752905397287957,,50.0,0.6116409704479315,0.6785714285714287,0.14563492063492064
mainshock_scale,usp000gdw4,7,7,,,,,,,,,0.21269063045827052,0.26898917760634555,,10.0,-0.11153831062264163,0.07142857142857144,0.8117063492063492
mainshock_scale,usp000gdw4,7,7,,,,,,,,,0.2092171326477019,0.27061553299045027,,25.0,-0.007222459580509266,0.1785714285714286,0.9863095238095239
mainshock_scale,usp000gdw4,7,7,,,,,,,,,0.18823325942685656,0.25380914207488936,,50.0,0.6593859907267783,0.6785714285714287,0.11369047619047619
