record_id,mainshock_id,subgroup_type,subgroup,n_events,p,p_lo,p_hi,mainshock_mag,pop_sum_10km,pop_mean_10km,pop_max_10km,pop_sum_25km,pop_mean_25km,pop_max_25km,pop_sum_50km,pop_mean_50km,pop_max_50km,pop_sum_subgroup,pop_mean_subgroup,pop_max_subgroup,analysis_included
usb000gcdd|region|North_of_ms,usb000gcdd,region,North_of_ms,30,0.9495689735853348,0.7923432714080609,1.1369704750794365,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,45727170.96456265,538.5686468943248,44019.640625,True
usb000gcdd|ring|0-50km,usb000gcdd,ring,0-50km,51,1.2947665293199495,1.1583626407934742,1.537360531379043,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,996480.1561924348,415.54635370827134,21310.2734375,True
usb000gcdd|ring|50-400km,usb000gcdd,ring,50-400km,35,0.4262548360090735,0.2,0.7043085365227064,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,100306309.68072404,480.9055110353155,105077.6953125,True
usb000rzmg|region|East_of_ms,usb000rzmg,region,East_of_ms,33,0.6589571785162927,0.4716469112635947,0.8186665060380123,6.2,37039.43541195671,156.94676022015554,2987.128662109375,457832.7602708731,305.22184018058203,29229.716796875,1783311.6353522348,327.0931099325449,29229.716796875,89878628.74596786,402.2423011849406,105077.6953125,True
usb000rzmg|region|North_of_ms,usb000rzmg,region,North_of_ms,32,0.4638773435024074,0.2090280185605861,0.8170915873049418,6.2,37039.43541195671,156.94676022015554,2987.128662109375,457832.7602708731,305.22184018058203,29229.716796875,1783311.6353522348,327.0931099325449,29229.716796875,67338878.91011211,478.74530887273374,105077.6953125,True
usb000rzmg|ring|0-150km,usb000rzmg,ring,0-150km,29,0.9339722826742608,0.7808040904915811,1.1235291668199257,6.2,37039.43541195671,156.94676022015554,2987.128662109375,457832.7602708731,305.22184018058203,29229.716796875,1783311.6353522348,327.0931099325449,29229.716796875,11845243.940902386,306.87955493412744,105077.6953125,True
usb000rzmg|ring|150-400km,usb000rzmg,ring,150-400km,26,0.2,0.2,0.2849730344973569,6.2,37039.43541195671,156.94676022015554,2987.128662109375,457832.7602708731,305.22184018058203,29229.716796875,1783311.6353522348,327.0931099325449,29229.716796875,106111392.76308171,389.4853647154666,72389.3125,True
usp000g650|depth|3-10km,usp000g650,depth,3-10km,906,1.1679408614042288,1.109144441170539,1.2202740680134865,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,103708031.71959548,473.9486955748205,87696.4765625,True
usp000g650|depth|10-17.4km,usp000g650,depth,10-17.4km,25,0.8527325311698934,0.6688152231302443,1.1457056666734062,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,103708031.71959548,473.9486955748205,87696.4765625,True
usp000g650|depth|>=17.4km,usp000g650,depth,>=17.4km,75,0.981273850948332,0.8599019659088352,1.12960156990056,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,103708031.71959548,473.9486955748205,87696.4765625,True
